FID,BPID,STREET_NAM,FROM_STREE,TO_STREET,BLOCK,WARD,WIDTH,Rating2023,RatingCate,FC,CreationDa,Miles,Shape__Length
1882,SYR1315,Fourth North St,LeMoyne,Wolf,100,1,34,7,Good,19,7/20/2023 12:00:00 AM,0.0904843923572,199.28116810621
1883,SYR2778,Pulaski St.,Giminski,Bear,200,2,36,7,Good,19,7/6/2023 12:00:00 AM,0.0661512121694,145.760892666049
1884,SYR1727,Hickory St.,Catherine,Lodi,700,9,27,7,Good,19,7/5/2023 12:00:00 AM,0.110624379622,243.62381873908
1885,SYR1316,Fourth North St,Wolf,Hiawatha,200,1,34,7,Good,19,7/18/2023 12:00:00 AM,0.086947948003,191.489663422599
1886,SYR2779,Pulaski St.,Bear,Hiawatha,0,2,37,6,Fair,19,7/6/2023 12:00:00 AM,0.280483672198,618.056780538161
1887,SYR1317,Fourth North St.,Hiawatha,RR tracks,300,1,34,7,Good,19,7/18/2023 12:00:00 AM,0.135813086988,299.199189756648
1888,SYR1728,Hier Ave,Park,Carbon,100,4,27,4,Poor,19,7/5/2023 12:00:00 AM,0.0739231935182,163.214184109167
1889,SYR278,Bellevue Ave.,Markland,Rider,1500,11,30,9,Excellent,17,7/26/2023 12:00:00 AM,0.0555997504532,122.25766363138
1890,SYR1318,Foxboro Rd,Fayette,Mountainview,100,17,30,6,Fair,19,7/28/2023 12:00:00 AM,0.112196885097,247.667110228757
1891,SYR1729,Hier Ave,Carbon,Knaul,200,4,27,5,Poor,19,7/5/2023 12:00:00 AM,0.16782408063,370.547135963951
1892,SYR2780,Putnam St,Onondaga,Dudley,100,11,30,7,Good,19,8/21/2023 12:00:00 AM,0.154536456014,340.089077284986
1893,SYR1319,"Franklin St, S.",Erie Blvd.,Washington,100,9,45,9,Excellent,17,8/2/2023 12:00:00 AM,0.0916745730971,202.364404345315
1894,SYR173,Ball Ave.,Harwood,Milnor,500,17,27,6,Fair,19,7/28/2023 12:00:00 AM,0.0545440244093,120.397083281186
1895,SYR2781,Putnam St,Dudley,Bradley,200,11,30,7,Good,19,8/21/2023 12:00:00 AM,0.137526308434,302.75744995512
1896,SYR132,Atlantic Ave,Evaleen,Girard,200,13,25,7,Good,18,8/2/2023 12:00:00 AM,0.128286267404,282.017392197974
1897,SYR1730,Hier Ave,Knaul,Schiller Park,300,4,27,6,Fair,19,7/5/2023 12:00:00 AM,0.0643423489144,142.068285814109
1898,SYR2782,Putnam St,Bradley,Geddes,300,11,30,6,Fair,19,8/21/2023 12:00:00 AM,0.0880826602837,193.9103062368
1899,SYR1320,"Franklin St, S.",Washington,Fayette,200,9,45,9,Excellent,17,8/2/2023 12:00:00 AM,0.0632139656163,139.537667119186
1900,SYR1731,High St,Pond,Craig,100,3,29,7,Good,19,7/19/2023 12:00:00 AM,0.0852221342486,187.674847063072
1901,SYR2784,Ramsey Ave,Meadowbrook,Scotthom Blvd,100,17,31,4,Poor,19,8/1/2023 12:00:00 AM,0.142068574563,313.481686853595
1902,SYR1321,"Franklin St, S.",Fayette,Walton,300,9,45,10,Excellent,17,8/2/2023 12:00:00 AM,0.0507925576974,112.117318325409
1903,SYR1732,Highland Ave.,Highland St.,Graves,100,6,33,10,Excellent,19,7/5/2023 12:00:00 AM,0.127378626944,280.527855804198
1904,SYR2785,Randall Ave,Elmhurst,Colvin,100,13,26,10,Excellent,19,7/26/2023 12:00:00 AM,0.154947695577,341.879434544998
1905,SYR1322,"Franklin St, S.",Walton,Jefferson,400,9,45,10,Excellent,17,8/2/2023 12:00:00 AM,0.0324358601392,71.5968268940835
1906,SYR1733,Highland Ave.,Graves,Oak,200,4,30,10,Excellent,19,7/5/2023 12:00:00 AM,0.125502355181,276.39992055915
1907,SYR1323,"Franklin St., N.",Erie Blvd.,Genesee,100,9,45,9,Excellent,14,7/12/2023 12:00:00 AM,0.0731484349922,161.408150567977
1908,SYR2786,Randolph St,E. Glen,Clarence,100,14,23,8,Good,19,8/2/2023 12:00:00 AM,0.0800718507155,176.618062089663
1909,SYR1734,Highland Ave.,Oak,Dewitt,300,4,30,10,Excellent,19,7/12/2023 12:00:00 AM,0.190296209154,419.113358674703
1910,SYR1324,"Franklin St., N.",Genesee,Willow,200,9,45,9,Excellent,16,8/23/2023 12:00:00 AM,0.0324904893415,71.708749373115
1911,SYR2787,Randolph St,Clarence,dead end,200,14,23,9,Excellent,19,8/2/2023 12:00:00 AM,0.081685070697,180.174914040327
1912,SYR1735,Highland Pl.,Beecher,Douglas,100,6,18,6,Fair,19,7/5/2023 12:00:00 AM,0.0541303557759,119.250482711317
1913,SYR1325,"Franklin St., N.",Willow,Herald Pl.,300,9,45,5,Poor,16,8/23/2023 12:00:00 AM,0.0657192835307,145.075165439377
1914,SYR2789,Raymond Ave,Kirk Pk. Dr.,W. Newell,100,13,27,8,Good,19,8/2/2023 12:00:00 AM,0.0873970773595,192.807898495881
1915,SYR1736,Highland St,James,Willow,100,6,32,10,Excellent,19,7/5/2023 12:00:00 AM,0.0661984881847,145.991265306447
1916,SYR1326,"Franklin St., N.",Herald Pl.,Butternut,400,2,30,7,Good,16,8/21/2023 12:00:00 AM,0.0956636926422,211.179930837991
1917,SYR279,Bellevue Ave.,Rider,Reed,1600,11,30,9,Excellent,17,7/26/2023 12:00:00 AM,0.0509418298343,112.01543378533
1918,SYR1737,Highland St.,Willow,Highland Av.,200,6,27,10,Excellent,19,7/5/2023 12:00:00 AM,0.0608371345066,134.161136783849
1919,SYR1327,"Franklin St., N.",Butternut,Genant,500,2,30,5,Poor,17,8/21/2023 12:00:00 AM,0.127375392826,280.950605738094
1920,SYR2790,Raynor Ave E,S.Salina,Montgomery,100,18,0,6,Fair,19,8/18/2023 12:00:00 AM,0.0487733353276,107.252837215793
1921,SYR1738,Highland St.,Highland Av.,Douglas,300,6,27,10,Excellent,19,7/5/2023 12:00:00 AM,0.0806637297454,177.890558755714
1922,SYR1328,"Franklin St., N.",Genant,Plum,600,2,30,5,Poor,17,8/23/2023 12:00:00 AM,0.0512916711627,113.141782069472
1923,SYR2791,Raynor Ave E,Montgomery,State,200,18,36,6,Fair,19,8/18/2023 12:00:00 AM,0.0675759795031,148.600940514184
1924,SYR1739,Highland St.,Douglas,Beecher,400,6,27,10,Excellent,19,7/5/2023 12:00:00 AM,0.0637750270611,140.659273111657
1925,SYR1329,Furman St,S. Salina,Midland,100200,18,30,7,Good,19,8/2/2023 12:00:00 AM,0.275265476706,605.496402499649
1926,SYR2793,Raynor Ave E,Oakwood,McBride,400,18,36,5,Poor,19,8/23/2023 12:00:00 AM,0.0903614282661,198.705584454839
1927,SYR174,Ball Ave.,Milnor,Salt Springs Rd.,600,17,27,6,Fair,19,7/28/2023 12:00:00 AM,0.0485568036512,107.177354942313
1928,SYR133,Atlantic Ave,Girard,Empire,300,13,25,7,Good,18,8/2/2023 12:00:00 AM,0.0527971859405,116.06997139568
1929,SYR1330,Furman St,Midland,Cortland,300,12,30,7,Good,19,8/2/2023 12:00:00 AM,0.137796595227,303.090364228151
1930,SYR2794,Raynor Ave E,Fineview,Henry,600,16,36,4,Poor,19,8/2/2023 12:00:00 AM,0.0585423904844,128.735761793853
1931,SYR1740,Highland St.,Beecher,Graves,500,6,27,5,Poor,19,7/5/2023 12:00:00 AM,0.0605341475007,133.647671874807
1932,SYR1331,Gale Ave.,Burnet,Vann,100,6,30,6,Fair,19,7/11/2023 12:00:00 AM,0.064265264754,141.873013523822
1933,SYR2795,Raynor Ave E,Henry,Stadium,700,16,36,6,Fair,19,8/2/2023 12:00:00 AM,0.0626585587362,137.78832865491
1934,SYR1741,Highland St.,Graves,Jasper,600,4,27,6,Fair,19,7/5/2023 12:00:00 AM,0.0578084024563,127.629830940644
1935,SYR1332,Game Rd,dead end,Ainsley,100,14,27,7,Good,19,8/14/2023 12:00:00 AM,0.14466226481,319.127917617554
1936,SYR2796,Raynor Ave E,Stadium,Irving,800,16,36,7,Good,19,8/2/2023 12:00:00 AM,0.0627599904213,138.011578057391
1937,SYR1742,Highland St.,Jasper,Park,700,4,27,7,Good,19,7/5/2023 12:00:00 AM,0.0605406433776,133.664425926522
1938,SYR1333,Gannett Ave,Willumae,Sixth North,100,1,0,7,Good,19,7/18/2023 12:00:00 AM,0.0956528885869,211.075308381711
1939,SYR2797,Redfield Pl,Maryland,Lancaster,100,16,24,4,Poor,19,7/25/2023 12:00:00 AM,0.145878860874,320.802462545226
1940,SYR1743,Highland St.,Park,Carbon,800,4,27,5,Poor,19,7/5/2023 12:00:00 AM,0.0735625531054,162.418032890449
1941,SYR1334,Garfield Ave,Oakwood,Woodland,100,18,27,7,Good,19,8/2/2023 12:00:00 AM,0.0645038135257,142.321319811593
1942,SYR2798,Reed Ave,Bellevue,Stolp,100,11,25,10,Excellent,19,8/21/2023 12:00:00 AM,0.191038444741,421.568194960603
1943,SYR1744,Highland St.,Carbon,Knaul,900,4,27,3,Very Poor,19,7/5/2023 12:00:00 AM,0.167718581552,370.31326627253
1944,SYR1335,Garfield Ave,Woodland,Borden,200,19,27,7,Good,19,8/2/2023 12:00:00 AM,0.105654182434,233.128544947112
1945,SYR2799,Reed Ave,Stolp,Argonne,200,11,25,10,Excellent,19,8/21/2023 12:00:00 AM,0.211362583393,466.293092735998
1946,SYR1745,Highland St.,Knaul,Hartley,1000,4,27,4,Poor,19,7/5/2023 12:00:00 AM,0.145467465386,321.170900951274
1947,SYR1336,Garfield Ave,Borden,Elizabeth,300,19,27,6,Fair,19,8/2/2023 12:00:00 AM,0.110800727508,244.477379934708
1948,SYR28,"Adams St., E.",Irving,Crouse,900,16,30,9,Excellent,16,8/1/2023 12:00:00 AM,0.0620079680446,136.370817412529
1949,SYR1746,Highland St.,Third,Saile,1200,4,27,5,Poor,19,7/5/2023 12:00:00 AM,0.0929873754578,205.317997725093
1950,SYR1337,Garfield Ave,Elizabeth,Colvin,400,19,27,7,Good,19,8/2/2023 12:00:00 AM,0.0460350669667,101.571459534038
1951,SYR280,Bellevue Ave.,Reed,Upland,1700,11,30,9,Excellent,17,7/26/2023 12:00:00 AM,0.117347171594,258.03307686208
1952,SYR1748,Highland St.,Schiller,Grant Blvd.,1400,4,27,6,Fair,19,7/5/2023 12:00:00 AM,0.0831113840157,183.524261187025
1953,SYR1338,Garfield Ave,Colvin,Elk,500,19,27,7,Good,19,8/2/2023 12:00:00 AM,0.0742596315914,163.849445604817
1954,SYR2802,Renwick Ave,Taylor,Jackson,300,15,30,4,Poor,19,8/14/2023 12:00:00 AM,0.0921982230477,203.231658214943
1955,SYR1749,Highridge Dr,Broadview,Highridge Pl,100,11,21,10,Excellent,19,8/22/2023 12:00:00 AM,0.142756063331,314.452540820316
1956,SYR1339,Garfield Pl,Garfield Av.,dead end,100,19,27,6,Fair,19,8/14/2023 12:00:00 AM,0.0484554043732,106.544903152813
1957,SYR2804,Renwick Ave,Fineview,Castle,600,16,30,5,Poor,17,8/2/2023 12:00:00 AM,0.206808309265,456.267111543194
1958,SYR175,Ball Cir.,E. Brighton,Ainsley Dr.,100,14,26,7,Good,19,8/14/2023 12:00:00 AM,0.198703623472,437.538284925026
1959,SYR134,Atlantic Ave,Empire,Loomis,400,13,25,7,Good,18,8/2/2023 12:00:00 AM,0.0519131295557,114.126606549258
1960,SYR2805,Rich St,Onondaga,Tallman,100,10,28,8,Good,19,8/18/2023 12:00:00 AM,0.0970721380723,214.10118984899
1961,SYR1750,Highridge Dr,Highridge Pl.,Sharon,200,11,21,10,Excellent,19,8/22/2023 12:00:00 AM,0.134199738562,295.344464634416
1962,SYR1340,Gary Ave,Parrish La,Edna Dr.,100,14,27,6,Fair,19,8/21/2023 12:00:00 AM,0.0677394032786,149.366298585942
1963,SYR2806,Rich St,Tallman,Bellevue,200,12,28,7,Good,19,8/18/2023 12:00:00 AM,0.168680963448,372.236479167333
1964,SYR1752,Highridge Pl,Highridge Dr.,dead end,100,11,30,10,Excellent,19,8/22/2023 12:00:00 AM,0.0398916957245,87.761828586971
1965,SYR1342,Geddes St N,bridge,Erie Blvd,100,2,56,7,Good,16,7/26/2023 12:00:00 AM,0.154543913159,341.123624049065
1966,SYR2807,Rich St,Bellevue,Sterling,300,12,28,7,Good,19,8/18/2023 12:00:00 AM,0.111920289066,246.984080438434
1967,SYR1753,Hillcrest Rd,Janet Dr.,dead end,100,17,24,7,Good,19,8/2/2023 12:00:00 AM,0.0928061852359,204.527968445986
1968,SYR1343,Geddes St N,Erie Blvd,Richmond,200,2,46,8,Good,16,8/22/2023 12:00:00 AM,0.139412738616,307.734347286982
1969,SYR2808,Rich St,Sterling,Cheney/Marginal,400,12,28,6,Fair,19,8/18/2023 12:00:00 AM,0.134040016115,295.776134966876
1970,SYR1754,Hillsboro Pkwy,E. Genesee,Deforest,100,17,42,6,Fair,19,8/1/2023 12:00:00 AM,0.169983784958,374.548678033036
1971,SYR1344,Geddes St N,Richmond,Park,300,2,46,8,Good,16,8/22/2023 12:00:00 AM,0.12717812012,280.738085745328
1972,SYR2809,Richard Rd,Winkworth,City Line,100,11,25,10,Excellent,19,8/22/2023 12:00:00 AM,0.182269103795,402.177749569438
1973,SYR1345,Geddes St N,Park,W. Genesee,400,2,46,7,Good,16,8/22/2023 12:00:00 AM,0.116625055567,257.450004652503
1974,SYR281,Bellevue Ave.,Upland,Bungalow,1800,11,30,9,Excellent,17,7/26/2023 12:00:00 AM,0.0625941480645,137.637088561236
1975,SYR1755,Hillsboro Pkwy,Deforest,Enfield Pl.,200,17,0,7,Good,19,8/1/2023 12:00:00 AM,0.089983787009,198.336436676315
1976,SYR1346,Geddes St N,W. Genesee,Belden,500,2,36,6,Fair,16,7/6/2023 12:00:00 AM,0.0850053424463,187.653718548655
1977,SYR2810,Richardson Ave,W. Lafayette,W. Newell,100,13,27,6,Fair,19,8/2/2023 12:00:00 AM,0.112458641469,248.099368147693
1978,SYR1756,Hillsboro Pkwy,Enfield Pl.,Hadden Rd.,300,17,0,6,Fair,19,8/1/2023 12:00:00 AM,0.164782328435,362.40450939238
1979,SYR1347,Geddes St N,Belden,Rte. 690,600,2,36,6,Fair,16,7/6/2023 12:00:00 AM,0.0718578490931,158.632449853614
1980,SYR2811,Richfield Ave,S. Salina,Coldbrook,100,14,28,6,Fair,19,8/21/2023 12:00:00 AM,0.226034856647,496.682517573767
1981,SYR2812,Richfield Ave,Coldbrook,dead end,300,14,28,6,Fair,19,8/21/2023 12:00:00 AM,0.0810021829395,177.989890207339
1982,SYR1757,Hillsboro Pkwy,Hadden Rd.,Lockwood Rd.,400,17,0,6,Fair,19,8/1/2023 12:00:00 AM,0.309760562466,682.134037116871
1983,SYR1349,Geddes St N,Marquette,Spencer,800,2,30,7,Good,16,7/6/2023 12:00:00 AM,0.0905645177974,199.933753250886
1984,SYR2813,Richmond Ave,Van Rennselaer,Geddes,0,2,27,8,Good,19,8/23/2023 12:00:00 AM,0.227688570639,500.805000337608
1985,SYR1758,Hillsdale Ave.,James,Northcliffe,100,5,27,9,Excellent,19,5/31/2023 12:00:00 AM,0.172746125399,381.426746738025
1986,SYR135,Atlantic Ave,Loomis,Shirley,500,13,25,7,Good,18,8/2/2023 12:00:00 AM,0.0502102553567,110.376903407807
1987,SYR2814,Richmond Ave,Geddes,Wall,300,2,27,8,Good,19,8/23/2023 12:00:00 AM,0.117235022904,257.864319642887
1988,SYR1759,Hillsdale Ave.,Northcliffe,Glencove,200,5,27,9,Excellent,19,5/31/2023 12:00:00 AM,0.155912352971,344.245818621517
1989,SYR1350,Geddes St N,Spencer,Pulaski,900,2,30,8,Good,17,7/6/2023 12:00:00 AM,0.0464047652411,102.446349596274
1990,SYR2815,Richmond Ave,Wall,Liberty,400,2,27,6,Fair,19,8/23/2023 12:00:00 AM,0.0610930115649,134.374981244535
1991,SYR176,Ballantyne Rd.,S. Salina,Sheldon,100,14,31,7,Good,18,8/2/2023 12:00:00 AM,0.153087691419,336.509290795765
1992,SYR1351,Geddes St N,Pulaski,Van Rennselaer,1000,2,0,8,Good,17,7/6/2023 12:00:00 AM,0.214810775369,474.126148052471
1993,SYR2816,Richmond Ave,Liberty,Lakeview,500,2,27,6,Fair,19,8/23/2023 12:00:00 AM,0.173352369548,381.28982151487
1994,SYR1760,Hillsdale Ave.,Glencove,Sunnycrest,300,5,27,9,Excellent,19,5/31/2023 12:00:00 AM,0.15610514046,344.657966220538
1995,SYR1353,"Geddes St., S.",Fayette,Marcellus,200,8,56,7,Good,16,7/26/2023 12:00:00 AM,0.07851407233,173.297850453592
1996,SYR2817,Rider Ave,Bellevue,Stolp,100,11,24,6,Fair,19,7/26/2023 12:00:00 AM,0.191366615562,422.292849133635
1997,SYR1761,Hillsdale Ave.,Sunnycrest,Caleb,400,5,27,9,Excellent,19,5/31/2023 12:00:00 AM,0.171822271537,379.345543990435
1998,SYR1354,"Geddes St., S.",Marcellus,Otisco,300,8,56,6,Fair,16,7/26/2023 12:00:00 AM,0.074034156278,163.407489605876
1999,SYR2818,Rider Ave,Stolp,Hancock,200,11,24,8,Good,19,7/26/2023 12:00:00 AM,0.215528490235,475.412029756221
2000,SYR1762,Hillsdale Ave.,Caleb,Burnet,500,5,27,9,Excellent,19,5/31/2023 12:00:00 AM,0.106894389982,235.989280913143
2001,SYR1355,"Geddes St., S.",Otisco,Gifford,400,8,56,7,Good,16,7/26/2023 12:00:00 AM,0.0586756922424,129.487655145626
2002,SYR2819,Ridgeway Ave,Beattie,Seeley,100,17,27,7,Good,19,7/28/2023 12:00:00 AM,0.230439061166,506.854431455326
2003,SYR1763,Hillside St,Dale,Butternut,100,3,27,5,Poor,19,11/7/2023 12:00:00 AM,0.0753871795101,166.182054800394
2004,SYR1356,"Geddes St., S.",Gifford,Seymour,500,8,56,7,Good,16,7/26/2023 12:00:00 AM,0.066089444426,145.829292276629
2005,SYR1764,Hillside St.,Butternut,Loma,200,3,27,4,Poor,19,7/18/2023 12:00:00 AM,0.0508832641956,112.174326856276
2006,SYR282,Bellevue Ave.,Bungalow,Velasko,1900,11,30,9,Excellent,17,7/26/2023 12:00:00 AM,0.0848501435217,186.678328348868
2007,SYR1357,"Geddes St., S.",Seymour,Shonnard,600,8,56,8,Good,16,7/26/2023 12:00:00 AM,0.0653273483561,144.144157854384
2008,SYR2820,Ridgewood Dr,James,Northcliffe,100,5,23,6,Fair,19,6/27/2023 12:00:00 AM,0.0486846366488,107.426475030822
2009,SYR1765,Hillside St.,Loma,Wadsworth,300,3,27,7,Good,19,7/18/2023 12:00:00 AM,0.11210769753,247.156706108174
2010,SYR1358,"Geddes St., S.",Shonnard,Merriman,700,8,60,9,Excellent,16,7/26/2023 12:00:00 AM,0.0709875276131,156.630061988013
2011,SYR2821,Ridgewood Dr,Northcliffe,Winthrop,200,5,23,7,Good,19,6/27/2023 12:00:00 AM,0.119170277948,263.121806831435
2012,SYR1766,Hillside St.,Wadsworth,Harding,400,3,27,8,Good,19,7/18/2023 12:00:00 AM,0.0570311715388,125.734013078265
2013,SYR1359,"Geddes St., S.",Merriman,Delaware,800,8,56,9,Excellent,16,7/26/2023 12:00:00 AM,0.0648812783896,143.156745716183
2014,SYR2822,Ridgewood Dr,Glencove,Caleb,400,5,23,7,Good,19,6/27/2023 12:00:00 AM,0.154263734506,340.597819053448
2015,SYR1767,Hillside St.,Harding,Maplehurst,500,3,27,8,Good,19,7/18/2023 12:00:00 AM,0.0517203211888,114.027233926663
2016,SYR136,Atlantic Ave,Shirley,Valley,600,13,25,7,Good,18,8/2/2023 12:00:00 AM,0.0824509749754,181.264567823552
2017,SYR2823,Riegel St,Greenway,Peat,300,6,22,9,Excellent,19,7/24/2023 12:00:00 AM,0.248179166556,546.08355541226
2018,SYR1768,Hillside St.,Maplehurst,Darlington,600,3,27,8,Good,19,7/18/2023 12:00:00 AM,0.0461608675724,101.773107651519
2019,SYR1360,"Geddes St., S.",Delaware,Fitch,900,8,40,6,Fair,16,7/26/2023 12:00:00 AM,0.0671930202597,148.256044653119
2020,SYR2824,Rigi Ave.,James,Tyson,100,5,24,5,Poor,19,7/24/2023 12:00:00 AM,0.132839185658,293.326299996848
2021,SYR1769,Hillside St.,Darlington,city line,700,3,22,8,Good,19,7/18/2023 12:00:00 AM,0.0632365733828,139.421990867971
2022,SYR1361,"Geddes St., S.",Fitch,Putnam,1000,11,40,6,Fair,16,7/26/2023 12:00:00 AM,0.0668804380264,147.562431893881
2023,SYR2825,Rigi Ave.,Tyson,Coughlin,200,4,0,5,Poor,19,7/24/2023 12:00:00 AM,0.196166170451,433.177609043114
2024,SYR177,Ballantyne Rd.,Sheldon,Slayton,200,14,31,8,Good,18,8/2/2023 12:00:00 AM,0.0622201630085,136.767942915208
2025,SYR1362,"Geddes St., S.",Putnam,Rowland,1100,11,40,6,Fair,16,7/26/2023 12:00:00 AM,0.0880848561741,194.343500800419
2026,SYR2826,Rill Ave,Midland,Pierce,100,13,24,8,Good,19,8/2/2023 12:00:00 AM,0.0552332818752,121.411289353866
2027,SYR1770,Hilltop Rd,Juneway,dead end,100,11,24,10,Excellent,19,8/22/2023 12:00:00 AM,0.0781408734782,172.388165388141
2028,SYR1363,"Geddes St., S.",Rowland,Elliot,1200,11,36,9,Excellent,16,7/26/2023 12:00:00 AM,0.0609294926401,134.427726614254
2029,SYR2827,Rill Ave,Pierce,Conan,200,13,24,7,Good,19,8/2/2023 12:00:00 AM,0.0458819541253,100.855848743379
2030,SYR1771,Hillview Ave,South,May,100,13,27,4,Poor,19,7/26/2023 12:00:00 AM,0.0630640175988,138.678144589559
2031,SYR1364,"Geddes St., S.",Elliot,W. Onondaga,1300,11,36,9,Excellent,16,7/26/2023 12:00:00 AM,0.0876900327462,193.467410661785
2032,SYR2828,Rill Ave,Conan,dead end,300,13,24,0,Not Rated,19,11/8/2023 12:00:00 AM,0.0279919576055,61.5308113343909
2033,SYR1772,Hillview Ave,May,Craddock,200,13,27,4,Poor,19,7/26/2023 12:00:00 AM,0.0987641068058,217.128698960541
2034,SYR1365,"Geddes St., S.",W. Onondaga,Bellevue,1400,11,36,9,Excellent,16,7/26/2023 12:00:00 AM,0.0796410049442,175.703885919805
2035,SYR2829,Riverdale Dr,W. Seneca Tnpk,Kramer,100,13,27,7,Good,19,8/21/2023 12:00:00 AM,0.0859739755318,189.594726312792
2036,SYR1773,Hillview Ave,Craddock,Summitt,300,13,27,4,Poor,19,7/26/2023 12:00:00 AM,0.144994103665,318.767701876407
2037,SYR1366,"Geddes St., S.",Bellevue,Grant,1500,11,36,9,Excellent,16,7/26/2023 12:00:00 AM,0.0678439274732,149.699399882752
2038,SYR283,Bellevue Ave.,Velasko,Austin,2000,11,36,9,Excellent,17,7/26/2023 12:00:00 AM,0.0957487464447,210.772625081824
2039,SYR1774,Hilton Rd,S. Salina,Longmeadow,100,14,27,6,Fair,19,8/21/2023 12:00:00 AM,0.0683423041562,150.189886695201
2040,SYR1367,"Geddes St., S.",Grant,Laforte,1600,11,36,9,Excellent,16,7/26/2023 12:00:00 AM,0.0620879501266,137.010565669993
2041,SYR2830,Riverdale Dr,Kramer,Crestview,200,13,27,7,Good,19,8/21/2023 12:00:00 AM,0.177796115868,391.380171080438
2042,SYR1775,Hilton Rd,Longmeadow,Long Meadow,200,14,27,6,Fair,19,8/21/2023 12:00:00 AM,0.0647099172983,142.206779240166
2043,SYR1368,"Geddes St., S.",Laforte,Stolp,1700,11,36,9,Excellent,16,7/26/2023 12:00:00 AM,0.0627490135075,138.467817101789
2044,SYR2831,Rivoli Ave,Kenwick,Pleasantview,100,3,0,8,Good,19,7/18/2023 12:00:00 AM,0.0500764062384,110.196727730393
2045,SYR1776,Hixson Ave.,James,Melrose,100,5,27,4,Poor,19,7/11/2023 12:00:00 AM,0.0988231425861,217.962473085715
2046,SYR1369,"Geddes St., S.",Stolp,Gordon,1800,11,36,9,Excellent,16,7/26/2023 12:00:00 AM,0.0702876715989,155.100741446193
2047,SYR2832,Rivoli Ave,Pleasantview,Wainwright,200,3,0,6,Fair,19,7/18/2023 12:00:00 AM,0.042613082252,93.7728910164047
2048,SYR1777,Hixson Ave.,Melrose,Eldorado,200,5,27,8,Good,19,7/11/2023 12:00:00 AM,0.0527290489903,116.420789190829
2049,SYR1370,"Geddes St., S.",Gordon,Crossett,1900,11,36,9,Excellent,16,7/26/2023 12:00:00 AM,0.0853021288005,188.228912385724
2050,SYR1778,Hixson Ave.,Eldorado,Mooney,300,5,27,8,Good,19,7/11/2023 12:00:00 AM,0.0534120113745,117.927400740834
2051,SYR2833,Robert Drive,Hughes,East Colvin,100,0,0,5,Poor,19,8/14/2023 12:00:00 AM,0.215108081062,473.868288686743
2052,SYR1371,"Geddes St., S.",Crossett,Twin Hills,2000,12,36,9,Excellent,16,7/26/2023 12:00:00 AM,0.149506580855,329.89450680584
2053,SYR1779,Hixson Ave.,Mooney,Mariposa,400,5,27,8,Good,19,7/11/2023 12:00:00 AM,0.0530449610038,117.115885766201
2054,SYR2834,Roberts Ave,Bellevue,Grandview,100,11,34,9,Excellent,19,7/26/2023 12:00:00 AM,0.100179508665,221.072007477409
2055,SYR1372,"Geddes St., S.",Twin Hills,Arden,2100,12,36,9,Excellent,16,7/26/2023 12:00:00 AM,0.287291979227,633.876740446114
2056,SYR178,Ballantyne Rd.,Slayton,Midland,300,14,31,7,Good,18,8/2/2023 12:00:00 AM,0.065611257097,144.221701878536
2057,SYR2835,Roberts Ave,Grandview,Stolp,200,11,34,9,Excellent,19,7/26/2023 12:00:00 AM,0.0907722476235,200.307081531314
2058,SYR1373,"Geddes St., S.",Arden,Glenwood,2200,12,36,9,Excellent,16,7/26/2023 12:00:00 AM,0.146117940538,322.363073301762
2059,SYR1780,Hixson Ave.,Mariposa,Boyden,500,5,27,8,Good,19,7/11/2023 12:00:00 AM,0.0531193440908,117.277561078651
2060,SYR2836,Roberts Ave,Stolp,Gordon,300,12,34,6,Fair,19,7/26/2023 12:00:00 AM,0.0701829928434,154.870819013468
2061,SYR1374,Genant Dr.,Franklin,Clinton,100,2,21,9,Excellent,19,8/21/2023 12:00:00 AM,0.0625609834558,137.727200074323
2062,SYR1781,Hixson Ave.,Boyden,Kinne,600,5,27,8,Good,19,7/11/2023 12:00:00 AM,0.106341905104,234.779009418444
2063,SYR2837,Roberts Ave,Gordon,Crossett,400,12,34,6,Fair,19,7/26/2023 12:00:00 AM,0.0876381276473,193.383151839009
2064,SYR1375,Genant Dr.,Clinton,Division,200,2,21,9,Excellent,19,8/21/2023 12:00:00 AM,0.233701792718,515.441833185541
2065,SYR1782,Hixson Ave.,Kinne,Robinson,700,5,27,9,Excellent,19,7/11/2023 12:00:00 AM,0.0865160516941,191.004490076376
2066,SYR2838,Roberts Ave,Crossett,W. Colvin/Strathmore,500600,12,34,7,Good,19,7/26/2023 12:00:00 AM,0.394979553929,871.020500228286
2067,SYR1376,Genant Dr.,Division,Spencer,300,2,21,9,Excellent,16,8/21/2023 12:00:00 AM,0.119918253033,264.47102203173
2068,SYR1783,Hobart Ave,S. Salina,dead end,100,14,22,5,Poor,19,8/21/2023 12:00:00 AM,0.152745025381,335.76391273333
2069,SYR284,Bellevue Ave.,Austin,Sunhill Terr.,2100,11,36,9,Excellent,17,7/26/2023 12:00:00 AM,0.0595427464739,131.07599777058
2070,SYR1377,Genant Dr.,Spencer,Kirkpatrick,400,2,21,9,Excellent,16,8/21/2023 12:00:00 AM,0.137368919438,302.684299119939
2071,SYR1784,Hoefler St,Grand,Hartson,100,11,0,6,Fair,19,7/26/2023 12:00:00 AM,0.15160638343,334.585227989079
2072,SYR2840,Robineau Rd,Crossett,Strathmore/Colvin,100200,12,0,4,Poor,19,7/26/2023 12:00:00 AM,0.349487971634,770.710530365482
